MIC,ticker,CIK,ISIN,GICS Sector,GICS Industry
XNYS,NI,0001111711,US65473P1057,55,551030
XNYS,NJR,0000356309,US6460251068,55,551020
XNYS,NL,0000072162,US6291564077,20,202010
XNYS,AZO,0000866787,US0533321024,25,255040
XNYS,NOC,0001133421,US6668071029,20,201010
XNYS,NPK,0000080172,US6372151042,20,201010
XNYS,NSC,0000702165,US6558441084,20,203040
XNYS,NUE,0000073309,US6703461052,15,151040
XNYS,ES,0000072741,US30040W1080,55,551010
XNYS,NVO,0000353278,US6701002056,35,352020
XNYS,CMA,0000028412,US2003401070,40,401010
XNGS,NWL,0000814453,US6512291062,25,252010
XNYS,DRI,0000940944,US2371941053,25,253010
XNYS,OGE,0001021635,US6708371033,55,551010
XNYS,OKE,0001039684,US6826801036,10,101020
XNYS,OLN,0000074303,US6806652052,15,151010
XNYS,OMI,0000075252,US6907321029,35,351020
XNYS,OXM,0000075288,US6914973093,25,252030
XNYS,OXY,0000797468,US6745991058,10,101020
XNYS,PBI,0000078814,US7244791007,20,202010
XNYS,PCG,0001004980,NL0000470854,55,551010
XNGS,PCH,0001338749,US7376301039,60,601080
XNYS,PEG,0000788784,US7445731067,55,551030
XNGS,PEP,0000077476,US7134481081,30,302010
XNYS,PFE,0000078003,US7170811035,35,352020
XNYS,PGR,0000080661,US7433151039,40,403010
XNYS,PG,0000080424,US7427181091,30,303010
XNYS,PHM,0000822416,US7458671010,25,252010
XNYS,PH,0000076334,US7010941042,20,201060
XNYS,PKE,0000076267,US70014A1043,20,201010
XNYS,PNC,0000713676,US6934751057,40,401010
XNYS,TXNM,0001108426,US69349H1077,55,551010
XNYS,PNW,0000764622,US7234841010,55,551010
XNYS,PPG,0000079879,US6935061076,15,151010
XNYS,PPL,0000922224,US69351T1060,55,551010
XNYS,PNR,0000077360,IE00BLS09M33,20,201060
XNYS,WTRG,0000078128,US29670G1022,55,551040
XNYS,PAR,0000708821,US6988841036,45,452030
XNYS,PVH,0000078239,US6936561009,25,252030
XNYS,KIM,0000879101,US49446R1095,60,601070
XNYS,SHEL,0001306965,US7802593050,10,101020
XNYS,RES,0000742278,US7496601060,10,101010
XNYS,RJF,0000720005,US7547301090,40,402030
XNYS,RLI,0000084246,US7496071074,40,403010
XNYS,ROL,0000084839,US7757111049,20,202010
XNYS,BCO,0000078890,US1096961040,20,202010
XNYS,R,0000085961,US7835491082,20,203040
XNYS,T,0000732717,US00206R1023,50,501010
XNYS,SCHW,0000316709,US8085131055,40,402030
XNYS,SF,0000720672,US8606301021,40,402030
XNYS,SHW,0000089800,US8243481061,15,151010
XNYS,SKY,0000090896,US8308301055,25,252010
XNYS,SLB,0000087347,AN8068571086,10,101010
XNGS,SLM,0001032033,US78442P1066,40,402020
XNYS,SMP,0000093389,US8536661056,25,251010
XNYS,SNA,0000091440,US8330341012,20,201060
XNYS,SONY,0000313838,US8356993076,25,252010
XNYS,SO,0000092122,US8425871071,55,551010
XNYS,SPG,0001063761,US8288061091,60,601070
XNYS,SPXC,0000088205,US78473E1038,20,201060
XNYS,SCI,0000089089,US8175651046,25,253020
XNYS,SAN,0000891478,US05964H1059,40,401010
XNYS,SWK,0000093556,US8545021011,20,201060
XNYS,SWX,0001692115,US8448951025,55,551020
XNYS,SXI,0000310354,US8542311076,20,201060
XNYS,SYY,0000096021,US8718291078,30,301010
XNGS,TWIN,0000100378,US9014761012,20,201060
XNYS,TDW,0000098222,US88642R1095,10,101010
XNYS,TEF,0000814052,US8793822086,50,501010
XNGS,TER,0000097210,US8807701029,45,453010
XNYS,THC,0000070318,US88033G4073,35,351020
XNYS,THO,0000730263,US8851601018,25,251020
XNYS,TJX,0000109198,US8725401090,25,255040
XNYS,TKR,0000098362,US8873891043,20,201060
XNYS,GL,0000320335,US37959E1029,40,403010
XNYS,TMO,0000097745,US8835561023,35,352030
XNYS,TOL,0000794170,US8894781033,25,252010
XNYS,TPL,0001811074,US88262P1021,10,101020
XNYS,TRN,0000099780,US8965221091,20,201060
XNYS,TR,0000098677,US8905161076,30,302020
XNYS,TTC,0000737758,US8910921084,20,201060
XNGS,TXN,0000097476,US8825081040,45,453010
XNYS,TXT,0000217346,US8832031012,20,201010
XNYS,JCI,0000833444,IE00BY7QL619,20,201020
XNYS,TYL,0000860731,US9022521051,45,451030
XNYS,UGI,0000884614,US9026811052,55,551020
XNYS,UHT,0000798783,US91359E1055,60,601050
XNYS,UIS,0000746838,US9092143067,45,451020
XNYS,UNF,0000717954,US9047081040,20,202010
XNYS,UNM,0000005513,US91529Y1064,40,403010
XNYS,UNP,0000100885,US9078181081,20,203040
XNYS,RTX,0000101829,US75513E1010,20,201010
XNYS,UVV,0000102037,US9134561094,30,302030
XNYS,VFC,0000103379,US9182041080,25,252030
XNYS,VHI,0000059255,US9189052098,15,151010
XNYS,VMC,0001396009,US9291601097,15,151020
XNYS,VNO,0000899689,US9290421091,60,601040
XNYS,VSH,0000103730,US9282981086,45,452030
XNGS,WBA,0001618921,US9314271084,30,301010
XNYS,WEC,0000783325,US92939U1060,55,551030
XNYS,WGO,0000107687,US9746371007,25,251020
XNYS,WHR,0000106640,US9633201069,25,252010
